Model,Metric,Mean,Std,Min,Max
D8FN,IoU,0.7321,0.0167,0.7148,0.7576
D8FN_Light,IoU,0.7079,0.0311,0.6463,0.7304
D8FN,F1,0.8091,0.0149,0.7901,0.8318
D8FN_Light,F1,0.8043,0.0263,0.7526,0.8229
D8FN,Precision,0.1787,0.0157,0.1620,0.2048
D8FN_Light,Precision,0.1603,0.0075,0.1457,0.1660
D8FN,Recall,0.2134,0.0138,0.1950,0.2333
D8FN_Light,Recall,0.2078,0.0571,0.1066,0.2758
D8FN,mIoU,0.8188,0.0110,0.7999,0.8291
D8FN_Light,mIoU,0.8047,0.0145,0.7763,0.8172
D8FN,Kappa,0.1193,0.0133,0.0969,0.1382
D8FN_Light,Kappa,0.1070,0.0260,0.0599,0.1380
D8FN,Betti0_Err,3.5792,0.2904,3.2311,3.9129
D8FN_Light,Betti0_Err,3.7148,0.3661,3.3598,4.2746
D8FN,Betti1_Err,2.2314,0.0788,2.1155,2.3598
D8FN_Light,Betti1_Err,2.2367,0.0780,2.1117,2.3542
D8FN,HVR,0.0049,0.0014,0.0035,0.0070
D8FN_Light,HVR,0.0045,0.0017,0.0013,0.0059
D8FN,PA_IoU,0.8159,0.0108,0.7969,0.8259
D8FN_Light,PA_IoU,0.8021,0.0135,0.7756,0.8141
